zipcode,H025_zip,H512_zip,total_capacity,facility_count
10970,129.92476638723988,39.075233612760115,169,5
109702626,4.5600000000000005,11.44,16,1
109702919,4.5600000000000005,11.44,16,1
10973,144.06223856247402,38.937761437525964,183,4
10974,15.070408284067078,32.92959171593292,48,5
10977,1343.7478303975572,943.2521696024428,2287,57
109778162,4.5600000000000005,11.44,16,1
10980,146.8184609041059,202.1815390958941,349,11
10983,3.1463118162176578,242.85368818378234,246,2
10984,3.336207381155341,139.66379261884467,143,3
10987,0.0,40.0,40,1
10989,124.78691969865302,136.21308030134696,261,7
10990,293.833600336549,112.16639966345102,406,11
109901026,0.0,60.0,60,1
10992,231.18583690914508,128.81416309085492,360,6
10993,306.9060313132456,94.09396868675442,401,6
10994,162.22187002019817,662.7781299798019,825,8
10998,43.0,0.0,43,1
11001,225.96450916242762,311.0354908375724,537,14
11003,399.53863682666776,2015.4613631733323,2415,50
11004,0.0,427.0,427,2
11010,34.1952144228397,247.80478557716032,282,9
11020,62.0,80.0,142,2
11021,202.0,0.0,202,3
11023,218.90247799741041,136.09752200258959,355,5
11024,302.0,250.0,552,5
11030,279.0,410.0,689,7
11040,732.3635364603535,487.6364635396464,1220,10
11042,282.0,0.0,282,1
11050,972.0255026758413,955.9744973241587,1928,21
11096,203.4062461614386,145.5937538385614,349,10
11101,46.52575564024501,1569.474244359755,1616,16
11102,44.53989390249703,1345.460106097503,1390,17
11103,39.37749515659036,484.6225048434096,524,9
11104,23.093387956240086,1205.9066120437599,1229,10
11105,43.64776920625231,786.3522307937477,830,8
11106,80.70172830545827,1454.2982716945417,1535,27
11109,0.0,89.0,89,1
11201,105.26343751253229,1851.7365624874678,1957,30
11203,264.5637689394157,3140.4362310605843,3405,78
11204,173.9178951913202,3018.08210480868,3192,50
11205,56.51423000920805,861.4857699907919,918,20
11206,143.34811424992955,3089.6518857500705,3233,57
112064814,0.0,160.0,160,1
11207,538.2303100399696,5677.7696899600305,6216,155
112072216,4.5600000000000005,11.44,16,1
11208,486.84065909084944,4567.15934090915,5054,130
11209,63.03604319995871,1359.9639568000414,1423,20
11210,152.6242396791934,1861.3757603208066,2014,51
