batch,facility_id,zipcode,latitude,longitude,added_slots,cost
batch_8,44161,12302,42.825015,-73.966158,46,76600.0
batch_8,379361,12302,42.890025,-73.923018,40,66920.79207920791
batch_8,573029,12302,42.894776,-73.918489,32,55004.87804878049
batch_8,40217,12302,42.850049,-73.94243,22,39919.29824561404
batch_8,41574,12302,42.887249,-73.921674,17,33327.27272727273
batch_8,41570,12302,42.849621,-73.946366,17,33327.27272727273
batch_8,40223,12302,42.83316,-73.975385,17,33327.27272727273
batch_8,899496,12302,42.846921,-73.944562,13,27047.058823529413
batch_8,642699,12302,42.881503,-73.928035,13,27047.058823529413
batch_8,865627,12302,42.891407,-73.97845,7,18968.42105263158
batch_8,908831,12302,42.828901,-73.959901,6,17100.0
batch_8,671487,12302,42.836622,-73.963241,6,17100.0
batch_8,621245,12302,42.894042,-73.920042,3,12900.0
batch_8,26780,12302,42.835728,-73.962757,3,12900.0
batch_8,21732,12302,42.832634,-73.971309,3,12900.0
batch_8,731838,12302,42.845835,-73.959041,3,12900.0
batch_8,353532,12302,42.828406,-73.962278,3,12900.0
batch_8,144744,12302,42.88005870132916,-73.99152408793499,3,12900.0
batch_8,161375,12302,42.839034,-73.971511,3,12900.0
batch_8,837321,14216,42.94216,-78.871978,32,55200.0
batch_8,131026,14216,42.947939,-78.858194,30,52894.73684210527
batch_8,834621,14216,42.950043,-78.869216,26,47278.78787878788
batch_8,864216,14216,42.947501,-78.857561,21,38977.77777777778
batch_8,469194,14216,42.956914,-78.86169,15,31294.736842105263
batch_8,880832,14216,42.945866,-78.865111,6,17100.0
batch_8,885918,14216,42.95811,-78.861866,3,12900.0
batch_8,902765,11001,40.726317,-73.716071,82,130000.0
batch_8,909485,11001,40.727026,-73.703709,36,61400.0
batch_8,909484,11001,40.72052,-73.719928,28,49600.0
batch_8,148761,11001,40.728959,-73.699365,6,17100.0
batch_8,751985,11001,40.736262,-73.711035,6,17100.0
batch_8,276358,11001,40.726233,-73.71006,6,17100.0
batch_8,846413,11001,40.715894,-73.686251,6,17100.0
batch_8,833846,11001,40.721935,-73.705077,6,17100.0
batch_8,792443,11001,40.720704,-73.714894,6,17100.0
batch_8,220949,11001,40.714286,-73.698236,6,17100.0
batch_8,916874,11001,40.71698,-73.705066,6,17100.0
batch_8,885230,11001,40.711297,-73.701087,6,17100.0
batch_8,892141,11001,40.721998,-73.70504,6,17100.0
batch_8,400597,11001,40.713342,-73.698166,4,12866.666666666668
batch_8,547918,14086,42.906732,-78.669787,61,98122.07792207792
batch_8,915761,14086,42.92014,-78.645268,56,90543.2624113475
batch_8,100645,14086,42.881305,-78.678138,48,78668.85245901639
batch_8,852172,14086,42.894481,-78.630802,40,66843.13725490196
batch_8,887181,14086,42.907982,-78.679034,36,61400.0
batch_8,176687,14086,42.878699,-78.652311,17,33327.27272727273
batch_8,41411,14086,42.933787,-78.694487,17,33327.27272727273
batch_8,41398,14086,42.892191,-78.674215,14,29400.0
batch_8,158880,14086,42.918612,-78.666573,3,12900.0
batch_9,753272,10805,40.907129,-73.783515,27,48741.17647058823
batch_9,349952,10805,40.899924,-73.791062,23,42996.61016949153
batch_9,875919,10805,40.900198,-73.793983,14,29400.0
batch_9,513242,10805,40.90037597015807,-73.78111417332222,6,17100.0
batch_9,782467,10805,40.900034,-73.786765,6,17100.0
batch_9,791291,10805,40.896041,-73.784396,6,17100.0
batch_9,901753,10805,40.89445,-73.785298,6,17100.0
batch_9,879050,10805,40.900312,-73.788058,4,12866.666666666668
batch_9,72887,10471,40.903208,-73.903822,56,90600.0
batch_9,877736,10471,40.91077,-73.900055,6,17100.0
batch_9,813862,10471,40.909477,-73.896842,6,17100.0
batch_9,740727,10471,40.901499,-73.899553,6,17100.0
batch_9,876335,10471,40.902372,-73.898737,6,17100.0
batch_9,388354,10471,40.905233,-73.901745,6,17100.0
batch_9,882928,10471,40.911216,-73.899402,6,17100.0
batch_9,921479,10471,40.911652,-73.901047,6,17100.0
batch_9,892656,10471,40.889231,-73.900206,6,17100.0
batch_9,915372,10471,40.909801,-73.898778,6,17100.0
batch_9,716682,12589,41.584092,-74.085073,24,43400.0
batch_9,752063,12589,41.605527,-74.174731,16,31600.0
batch_9,808996,12589,41.615693,-74.075631,16,31600.0
batch_9,41312,12589,41.619484,-74.075669,8,19800.0
batch_9,874301,12589,41.617225,-74.071919,6,17100.0
batch_9,131154,12589,41.608376,-74.1767,6,17100.0
batch_9,918547,12589,41.615918,-74.23572,6,17100.0
batch_9,451047,12589,41.620271,-74.115192,6,17100.0
batch_9,518498,12589,41.62447,-74.089549,6,17100.0
batch_9,885448,12589,41.644422,-74.094478,6,17100.0
batch_9,847582,12589,41.608723,-74.140877,3,12900.0
batch_9,29886,12589,41.58417,-74.072696,3,12900.0
batch_9,903113,12589,41.619349,-74.066097,3,12900.0
batch_9,902928,12589,41.615918,-74.23572,3,12900.0
batch_9,42279,13202,43.041186,-76.150691,37,62672.34042553191
batch_9,829765,13202,43.038014,-76.15621,3,12900.0
batch_9,675633,13202,43.03544,-76.145905,3,12900.0
batch_9,251637,13202,43.042593,-76.143803,3,12900.0
batch_9,840550,14020,43.003127,-78.145598,61,98122.07792207792
batch_9,828971,14020,43.005107,-78.170557,48,78800.0
batch_9,42845,14020,43.002951,-78.146017,36,61312.08791208791
batch_9,39572,14020,42.998678,-78.197437,36,61400.0
batch_9,262962,14020,42.997986,-78.181136,28,49600.0
batch_9,828973,14020,42.986652,-78.181212,24,43400.0
batch_9,232148,14020,42.99465,-78.216304,22,39919.29824561404
batch_9,41864,14020,43.016889,-78.13817,18,35600.0
batch_9,168446,14020,42.997965,-78.193982,6,17100.0
batch_9,25993,14020,42.995889,-78.209304,6,17100.0
batch_9,21455,14020,42.992722,-78.183187,6,17100.0
batch_9,40182,13642,44.334766,-75.468393,16,31219.04761904762
batch_9,761379,13642,44.296853,-75.399533,6,17100.0
batch_9,913559,13642,44.32832197749228,-75.46513157548112,6,17100.0
batch_9,912087,13642,44.295221,-75.401508,6,17100.0
batch_9,918571,13642,44.338431,-75.470335,3,12900.0
batch_9,594201,11710,40.70332,-73.539252,116,179400.0
batch_9,132476,11710,40.655016,-73.525233,62,100200.0
batch_9,874069,11710,40.680068,-73.532711,55,90313.6690647482
batch_9,103801,11710,40.674308,-73.531816,36,61400.0
batch_9,39826,11710,40.681773,-73.539816,30,53000.0
